id,color,size
ilya_agent_001,#000100,1.0307322331124034
kak_vsegda_banapart,#020100,1.0307322331124034
bzway_,#000000,1.0307322331124034
temqosan,#000000,0.9932384324916819
soundalerts,#080000,0.9932384324916819
anasteysharask,#000100,0.9542726188989101
nikamar2,#020000,0.9542726188989101
shadtruelegend,#010000,0.9542726188989101
egor_maldoror,#000000,0.9542726188989101
freamer_ertis,#000000,0.9136464735234497
lawreeezz_404,#000000,0.9136464735234497
niami_niami,#000000,0.9136464735234497
lai_terr,#000000,0.9136464735234497
pepper0nin,#000000,0.9136464735234497
evermooon,#020200,0.9136464735234497
sanches_x8,#000000,0.871127732300773
superloh15yo,#000100,0.871127732300773
thelfuser,#000000,0.871127732300773
batyara_ich,#000100,0.871127732300773
poliesterr,#020400,0.871127732300773
lucker_vg,#000000,0.871127732300773
ludmila_mikhailovna1983,#017400,0.871127732300773
sapna,#000000,0.871127732300773
leksus24,#010000,0.8264243301023624
ichoosehell,#000000,0.8264243301023624
milodik,#000000,0.8264243301023624
grulf,#010000,0.8264243301023624
tthesunbeam,#020100,0.8264243301023624
motobard,#000100,0.8264243301023624
mamoru_45,#010100,0.8264243301023624
daboobies,#000000,0.8264243301023624
ya_hunter_okbro,#000000,0.779160330603907
swaaagdog,#010100,0.779160330603907
sakura_and_wind,#000000,0.779160330603907
jimijacket,#000100,0.779160330603907
palkasupilozhka,#000100,0.779160330603907
pusshikairu,#010100,0.779160330603907
okusari,#000100,0.779160330603907
nathnath373,#000000,0.7288377516213337
kuraytaiga,#000000,0.7288377516213337
kenkakumightypootinolison,#010100,0.7288377516213337
aniki_cc,#010100,0.7288377516213337
jjesus___,#000100,0.7288377516213337
elliottadderley,#000100,0.7288377516213337
shusha_1337,#000000,0.6747726399240652
pashkentusstar,#000000,0.6747726399240652
artem222gj,#000000,0.6747726399240652
just_another_one_account,#000000,0.6747726399240652
xyi_dudl,#000000,0.6747726399240652
whiskas45,#000000,0.6747726399240652
bdjilka,#000000,0.6747726399240652
sektor89,#000000,0.6747726399240652
nado_eda,#000000,0.615980326789536
banchee007,#000000,0.615980326789536
rimurufromanime,#000000,0.615980326789536
justmeis,#000000,0.615980326789536
buffyk1,#000000,0.615980326789536
nickyfavore,#000000,0.615980326789536
kozlyevich,#000000,0.615980326789536
jekl11,#000000,0.615980326789536
cott3rdestruction,#000000,0.5509495534015749
lemon4787,#000000,0.5509495534015749
rin23cm,#000000,0.5509495534015749
fedorconkisto,#010100,0.5509495534015749
xycucws,#000000,0.5509495534015749
delay1h,#000000,0.5509495534015749
soukoku_1,#000000,0.5509495534015749
my_last_try,#010000,0.5509495534015749
underr1rrdog,#000000,0.5509495534015749
brandamber,#000000,0.5509495534015749
pazhiloyotval,#000000,0.5509495534015749
cloudnebesnyi,#010000,0.5509495534015749
sonybeen,#000000,0.5509495534015749
losmanchik,#000000,0.5509495534015749
sixsixsixsixsixsixsixsixs,#000000,0.5509495534015749
4a1ka4,#000000,0.5509495534015749
nagah1,#000000,0.5509495534015749
fiftymouse,#000000,0.5509495534015749
sugar_clouds,#000000,0.47713630944945506
alexsam1075,#000000,0.47713630944945506
punkplankton,#000000,0.47713630944945506
nouse002,#000000,0.47713630944945506
cicada9855,#000000,0.47713630944945506
bludnik_,#000000,0.47713630944945506
hyduct_,#000000,0.47713630944945506
mega_bluster,#000000,0.47713630944945506
staciemadlon,#010000,0.47713630944945506
tishka_ww,#000000,0.47713630944945506
sadistic_killer,#000000,0.47713630944945506
dend119,#000000,0.47713630944945506
idisukanahu,#000000,0.47713630944945506
kaikomisk,#000000,0.47713630944945506
negrich1134,#000000,0.47713630944945506
frostorus,#000000,0.47713630944945506
greenmessiaa,#000000,0.47713630944945506
baldy2408,#000000,0.47713630944945506
satanovskyi,#000000,0.47713630944945506
legk0e,#000000,0.47713630944945506
aokigaharayuurei,#010100,0.47713630944945506
pozzilayamakaka,#000000,0.47713630944945506
gruazzz,#000000,0.47713630944945506
hqhx,#000200,0.47713630944945506
menamejefferyson3point0,#000000,0.47713630944945506
drizzle______,#000000,0.47713630944945506
jajruno,#000000,0.47713630944945506
wiskkdkd,#000000,0.47713630944945506
slavik15let,#000000,0.47713630944945506
inssuit,#000000,0.47713630944945506
mar1o_bruh,#000000,0.3895801653019535
chill_ovecheck,#000000,0.3895801653019535
popajopapidofile,#000000,0.3895801653019535
vinni_pooh2000,#000000,0.3895801653019535
fokusnik_lunant,#000000,0.3895801653019535
unknown_unartist,#000000,0.3895801653019535
dersikop009,#000000,0.3895801653019535
cycmoburgmennya,#000000,0.3895801653019535
puddfiddpasydu,#000000,0.3895801653019535
slipiclaikasa,#000100,0.3895801653019535
brookermawose,#000000,0.3895801653019535
inmigewazhong,#010000,0.3895801653019535
4ipipaxa,#000000,0.3895801653019535
povelitel__glitora,#000000,0.3895801653019535
8lo_oi8,#000000,0.3895801653019535
fell_lovee,#000100,0.3895801653019535
broken_pwq,#000000,0.3895801653019535
kkennyy666,#000000,0.3895801653019535
pepsikolniy_kloun,#000000,0.3895801653019535
mega_krutoy_nikolay,#000100,0.3895801653019535
seir2727,#000000,0.3895801653019535
lichno_mne_poebatb,#000000,0.3895801653019535
1hoco4ek,#000000,0.3895801653019535
swarmwalker,#000000,0.3895801653019535
wildensign,#000000,0.3895801653019535
imcharder_,#000000,0.3895801653019535
yayohann,#000100,0.3895801653019535
h1llywood,#000000,0.3895801653019535
ryabchik_off,#000000,0.3895801653019535
ua22maks,#000000,0.3895801653019535
justloony,#000000,0.3895801653019535
bob_the_creator_,#000000,0.3895801653019535
fouraj,#000000,0.3895801653019535
yahikogod,#000000,0.3895801653019535
sportyashka,#000000,0.3895801653019535
mikank_,#000000,0.3895801653019535
mojlodost,#000000,0.3895801653019535
pr4vosudiye,#000000,0.3895801653019535
kitkattwat,#000000,0.3895801653019535
love_you89,#010100,0.3895801653019535
romajostkiy,#000000,0.3895801653019535
new_mask,#000000,0.3895801653019535
davidchik_alexandr,#000000,0.3895801653019535
nightbot,#000000,0.3895801653019535
